Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""4s2""","=""1S""","=""0""",1,"=""""","=""0.00000""","=""""","=""0""","=""  98                            ""","=""L12196"""
"=""4s.4p""","=""3P*""","=""0""",1,"=""""","=""14.55446""","=""""","=""""","="" 100                            ""","="""""
"=""4s.4p""","=""3P*""","=""1""",3,"=""""","=""14.88986""","=""""","=""""","="" 100                            ""","="""""
"=""4s.4p""","=""3P*""","=""2""",5,"=""""","=""15.69057""","=""""","=""""","="" 100                            ""","="""""
"=""4s.4p""","=""1P*""","=""1""",3,"=""""","=""21.18084""","=""""","=""""","="" 100                            ""","="""""
"=""4p2""","=""3P""","=""0""",1,"=""""","=""34.08719""","=""""","=""""","=""  98                            ""","="""""
"=""4p2""","=""3P""","=""1""",3,"=""""","=""34.64298""","=""""","=""""","="" 100                            ""","="""""
"=""4p2""","=""3P""","=""2""",5,"=""""","=""35.73103""","=""""","=""""","=""  72         :    22  4p2  1D   ""","="""""
"=""4p2""","=""1D""","=""2""",5,"=""""","=""34.68022""","=""""","=""""","=""  62         :    27  4p2  3P   ""","="""""
"=""4p2""","=""1S""","=""0""",1,"=""""","=""39.8974""","=""""","=""""","=""                                ""","="""""
"=""4s.4d""","=""3D""","=""1""",3,"=""""","=""43.39113""","=""""","=""""","="" 100                            ""","="""""
"=""4s.4d""","=""3D""","=""2""",5,"=""""","=""43.44615""","=""""","=""""","="" 100                            ""","="""""
"=""4s.4d""","=""3D""","=""3""",7,"=""""","=""43.53286""","=""""","=""""","="" 100                            ""","="""""
"=""4s.4d""","=""1D""","=""2""",5,"=""""","=""47.05055""","=""""","=""""","=""  85         :    15  4p2  1D   ""","="""""
"=""4s.5s""","=""3S""","=""1""",3,"=""""","=""54.3849""","=""""","=""""","="" 100                            ""","="""""
"=""4p.4d""","=""3F*""","=""3""",7,"=""""","=""59.4696""","=""""","=""""","=""  92                            ""","="""""
"=""4p.4d""","=""3F*""","=""4""",9,"=""""","=""60.0757""","=""""","=""""","=""  92                            ""","="""""
"=""4p.4d""","=""1D*""","=""2""",5,"=""""","=""60.4609""","=""""","=""""","=""  91                            ""","="""""
"=""4s.5p""","=""3P*""","=""0""",1,"=""""","=""61.0964""","=""""","=""""","=""  98                            ""","="""""
"=""4s.5p""","=""3P*""","=""1""",3,"=""""","=""61.1514""","=""""","=""""","=""  90                            ""","="""""
"=""4s.5p""","=""3P*""","=""2""",5,"=""""","=""61.44389""","=""""","=""""","=""                                ""","="""""
"=""4s.4f""","=""3F*""","=""2""",5,"=""""","=""65.7549""","=""""","=""""","=""  94                            ""","="""""
"=""4s.4f""","=""3F*""","=""3""",7,"=""""","=""65.7725""","=""""","=""""","=""  93                            ""","="""""
"=""4s.4f""","=""3F*""","=""4""",9,"=""""","=""65.8073""","=""""","=""""","=""  92                            ""","="""""
"=""4s.5d""","=""3D""","=""1""",3,"=""""","=""71.7211""","=""""","=""""","="" 100                            ""","="""""
"=""4s.5d""","=""3D""","=""2""",5,"=""""","=""71.7524""","=""""","=""""","=""  99                            ""","="""""
"=""4s.5d""","=""3D""","=""3""",7,"=""""","=""71.8004""","=""""","=""""","="" 100                            ""","="""""
"=""Kr VIII (4s 2S<1/2>)""","=""Limit""","=""---""",,"=""(""","=""109.13""","="")""","=""0.05""","=""                                ""","=""L13202"""
